Samling;Nr;Titel;Dato;PDF;
19591;7;Referat af møde nr. 7 den 23. oktober 1959 kl. 13:00;23-10-1959;https://www.folketingstidende.dk/samling/19591/salen/M7/19591_M7_referat.pdf;
19591;6;Referat af møde nr. 6 den 22. oktober 1959 kl. 10:00;22-10-1959;https://www.folketingstidende.dk/samling/19591/salen/M6/19591_M6_referat.pdf;
19591;5;Referat af møde nr. 5 den 21. oktober 1959 kl. 14:00;21-10-1959;https://www.folketingstidende.dk/samling/19591/salen/M5/19591_M5_referat.pdf;
19591;4;Referat af møde nr. 4 den 21. oktober 1959 kl. 10:00;21-10-1959;https://www.folketingstidende.dk/samling/19591/salen/M4/19591_M4_referat.pdf;
19591;3;Referat af møde nr. 3 den 20. oktober 1959 kl. 14:00;20-10-1959;https://www.folketingstidende.dk/samling/19591/salen/M3/19591_M3_referat.pdf;
19591;2;Referat af møde nr. 2 den 7. oktober 1959 kl. 13:00;07-10-1959;https://www.folketingstidende.dk/samling/19591/salen/M2/19591_M2_referat.pdf;
19591;1;Referat af møde nr. 1 den 6. oktober 1959 kl. 12:00;06-10-1959;https://www.folketingstidende.dk/samling/19591/salen/M1/19591_M1_referat.pdf;
19601;10;Referat af møde nr. 10 den 26. oktober 1960 kl. 13:00;26-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M10/19601_M10_referat.pdf;
19601;9;Referat af møde nr. 9 den 25. oktober 1960 kl. 14:00;25-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M9/19601_M9_referat.pdf;
19601;8;Referat af møde nr. 8 den 20. oktober 1960 kl. 15:00;20-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M8/19601_M8_referat.pdf;
19601;7;Referat af møde nr. 7 den 20. oktober 1960 kl. 09:00;20-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M7/19601_M7_referat.pdf;
19601;6;Referat af møde nr. 6 den 19. oktober 1960 kl. 13:30;19-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M6/19601_M6_referat.pdf;
19601;5;Referat af møde nr. 5 den 19. oktober 1960 kl. 09:00;19-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M5/19601_M5_referat.pdf;
19601;4;Referat af møde nr. 4 den 18. oktober 1960 kl. 14:00;18-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M4/19601_M4_referat.pdf;
19601;3;Referat af møde nr. 3 den 6. oktober 1960 kl. 13:00;06-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M3/19601_M3_referat.pdf;
19601;2;Referat af møde nr. 2 den 5. oktober 1960 kl. 13:00;05-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M2/19601_M2_referat.pdf;
19601;1;Referat af møde nr. 1 den 4. oktober 1960 kl. 12:00;04-10-1960;https://www.folketingstidende.dk/samling/19601/salen/M1/19601_M1_referat.pdf;
19602;100;Referat af møde nr. 100 den 4. august 1961 kl. 17:52;04-08-1961;https://www.folketingstidende.dk/samling/19602/salen/M100/19602_M100_referat.pdf;
19602;99;Referat af møde nr. 99 den 4. august 1961 kl. 09:00;04-08-1961;https://www.folketingstidende.dk/samling/19602/salen/M99/19602_M99_referat.pdf;
19602;98;Referat af møde nr. 98 den 3. august 1961 kl. 16:15;03-08-1961;https://www.folketingstidende.dk/samling/19602/salen/M98/19602_M98_referat.pdf;
19602;97;Referat af møde nr. 97 den 3. august 1961 kl. 16:10;03-08-1961;https://www.folketingstidende.dk/samling/19602/salen/M97/19602_M97_referat.pdf;
19602;96;Referat af møde nr. 96 den 3. august 1961 kl. 16:00;03-08-1961;https://www.folketingstidende.dk/samling/19602/salen/M96/19602_M96_referat.pdf;
19602;95;Referat af møde nr. 95 den 10. juni 1961 kl. 09:00;10-06-1961;https://www.folketingstidende.dk/samling/19602/salen/M95/19602_M95_referat.pdf;
19602;94;Referat af møde nr. 94 den 9. juni 1961 kl. 09:00;09-06-1961;https://www.folketingstidende.dk/samling/19602/salen/M94/19602_M94_referat.pdf;
19602;93;Referat af møde nr. 93 den 8. juni 1961 kl. 09:00;08-06-1961;https://www.folketingstidende.dk/samling/19602/salen/M93/19602_M93_referat.pdf;
