split;reason;text;value
19342;title_name;"Karin Nødgaard (DF)
Valg af 29 medlemmer til Ligestillingsudvalget.
Valgt blev:
1 Karina Adsbøl (DF)
2 Liselott Blixt (DF)
3 Dorthe Ullemose (DF)
4 Pernille Bendixen (DF)
5 Merete Dea Larsen (DF)
6 Pia Adelsteen (DF)
7 Jane Heitmann (V)
8 Louise Schack Elholm (V)
9 Erling Bonnesen (V)
10 Anni Matthiesen (V)
11 Peter Juel Jensen (V)
12 Hans Andersen (V)
13 Laura Lindahl (LA)
14 Merete Riisager (LA)
15 Mette Abildgaard (KF)
16 Astrid Krag (S)
17 Jan Johansen (S)
18 Julie Skovsby (S)

Onsdag den 7. oktober 2015 (FM )

19 Mattias Tesfaye (S)
20 Pernille Schnoor (S)
21 Rasmus Horn Langhoff (S)
22 Yildiz Akdogan (S)
23 Johanne Schmidt-Nielsen (EL)
24 Pernille Skipper (EL)
25 Carolina Magdalene Maier (ALT)
26 Roger Matthisen (ALT)
27 Marianne Jelved (RV)
28 Trine Torp (SF)
29 Jacob Mark (SF)";Næstformand
20147;title_name;Mette Abildgaard (KF);Formand
20182;title_name;"Yildiz Akdogan (S)
Valg af 29 medlemmer til Miljø- og Fødevareudvalget.
Valgt blev:
1 René Christensen (DF)
2 Pia Adelsteen (DF)
3 Ib Poulsen (DF)
4 Hans Kristian Skibby (DF)
5 Lise Bech (DF)
6 Karina Due (DF)
7 Erling Bonnesen (V)
8 Kristian Pihl Lorentzen (V)
9 Thomas Danielsen (V)
10 Torsten Schack Pedersen (V)
11 Anni Matthiesen (V)
12 Jacob Jensen (V)
13 Carsten Bach (LA)
14 Mette Bock (LA)
15 Mette Abildgaard (KF)
16 Bjarne Laustsen (S)
17 Julie Skovsby (S)
18 Kaare Dybvad (S)
19 Jesper Petersen (S)
20 Maja Panduro (S)
21 Simon Kollerup (S)
22 Søren Egge Rasmussen (EL)
23 Maria Reumert Gjerding (EL)
24 Christian Poll (ALT)
25 Carolina Magdalene Maier (ALT)
26 Andreas Steenberg (RV)
27 Ida Auken (RV)
28 Lisbeth Bech Poulsen (SF)
29 Pia Olsen Dyhr (SF)";Næstformand
20958;title_name;René Christensen (DF);Formand
20993;title_name;"Julie Skovsby (S)
Valg af 29 medlemmer til Retsudvalget.
Valgt blev:
1 Peter Skaarup (DF)
2 Peter Kofod Poulsen (DF)
3 Susanne Eilersen (DF)
4 Kenneth Kristensen Berth (DF)
5 Martin Henriksen (DF)
6 Tilde Bork (DF)
7 Preben Bang Henriksen (V)
8 Jan E. Jørgensen (V)
9 Britt Bager (V)

Onsdag den 7. oktober 2015 (FM )

10 Kristian Pihl Lorentzen (V)
11 Torsten Schack Pedersen (V)
12 Michael Aastrup Jensen (V)
13 Henrik Dahl (LA)
14 Simon Emil Ammitzbøll (LA)
15 Søren Pape Poulsen (KF)
16 Simon Kollerup (S)
17 Kaare Dybvad (S)
18 Mette Reissmann (S)
19 Mogens Jensen (S)
20 Rasmus Prehn (S)
21 Trine Bramsen (S)
22 Pernille Skipper (EL)
23 Henning Hyllested (EL)
24 Josephine Fock (ALT)
25 Sofie Carsten Nielsen (RV)
26 Lotte Rod (RV)
27 Lisbeth Bech Poulsen (SF)
28 Aleqa Hammond (SIU)
29 Aaja Chemnitz Larsen (IA)";Næstformand
21822;title_name;Peter Skaarup (DF);Formand
21854;title_name;"Mogens Jensen (S)
Valg af 29 medlemmer til Skatteudvalget.
Valgt blev:
1 Dennis Flydtkjær (DF)
2 Jan Rytkjær Callesen (DF)
3 Hans Kristian Skibby (DF)
4 Kim Christiansen (DF)
5 Morten Marinus (DF)
6 René Christensen (DF)
7 Louise Schack Elholm (V)
8 Jan E. Jørgensen (V)
9 Kristian Pihl Lorentzen (V)
10 Jacob Jensen (V)
11 Torsten Schack Pedersen (V)
12 Britt Bager (V)
13 Merete Riisager (LA)
14 Ole Birk Olesen (LA)
15 Brian Mikkelsen (KF)
16 Ane Halsboe-Jørgensen (S)
17 Jens Joel (S)
18 Jeppe Bruus (S)
19 Jesper Petersen (S)
20 Mattias Tesfaye (S)
21 Peter Hummelgaard Thomsen (S)
22 Thomas Jensen (S)
23 Rune Lund (EL)
24 Pelle Dragsted (EL)
25 Josephine Fock (ALT)
26 René Gade (ALT)
27 Martin Lidegaard (RV)
28 Lisbeth Bech Poulsen (SF)
29 Jonas Dahl (SF)";Næstformand
22628;title_name;Thomas Jensen (S);Formand
22659;title_name;"Merete Riisager (LA)
Valg af 29 medlemmer til Social- og Indenrigsudvalget.
Valgt blev:

1 Karin Nødgaard (DF)
2 Susanne Eilersen (DF)
3 Karina Adsbøl (DF)
4 Jens Henrik Thulesen Dahl (DF)
5 Dorthe Ullemose (DF)
6 Karina Due (DF)
7 Jan E. Jørgensen (V)
8 Britt Bager (V)
9 Jane Heitmann (V)
10 Hans Andersen (V)
11 Thomas Danielsen (V)
12 Anni Matthiesen (V)
13 Henrik Dahl (LA)
14 Laura Lindahl (LA)
15 Mette Abildgaard (KF)
16 Karen J. Klint (S)
17 Maja Panduro (S)
18 Orla Hav (S)
19 Pernille Rosenkrantz-Theil (S)
20 Mattias Tesfaye (S)
21 Trine Bramsen (S)
22 Yildiz Akdogan (S)
23 Rune Lund (EL)
24 Pernille Skipper (EL)
25 Torsten Gejl (ALT)
26 Marianne Jelved (RV)
27 Andreas Steenberg (RV)
28 Trine Torp (SF)
29 Karsten Hønge (SF)";Næstformand
23408;title_name;Maja Panduro (S);Formand
