Fr W Teichert;Socialdemokratiet;1960
Knud Thestrup;Det Konservative Folkeparti;1960
Chr Thomsen;Socialdemokratiet;1960
Knud Thomsen;Det Konservative Folkeparti;1960
Poul Thomsen;Det Konservative Folkeparti;1960
Peer Skov Thomsen;Venstre;1960
Ib Thyregod;Venstre;1960
Hans Carl Toft;Det Konservative Folkeparti;1960
Holger Vivike;Socialistisk Folkeparti;1960
Gertie Wandel;Det Konservative Folkeparti;1960
Ove Weikop;Det Konservative Folkeparti;1960
Kristen Østergaard;Venstre;1960
Kristian Albertsen;Socialdemokratiet;1964
Anders Andersen;Venstre;1964
Anders Chr Andersen;Venstre;1964
K B Andersen;Socialdemokratiet;1964
Nina Andersen;Socialdemokratiet;1964
Søren Andersen;Venstre;1964
Poul Adrian Andersen;Fólkaflokkurin;1964
Kaj Andresen;Socialdemokratiet;1964
Johan Asmussen;De Uafhængige;1964
Hilmar Baunsgaard;Det Radikale Venstre;1964
Jens Bladt;Socialdemokratiet;1964
Julius Bomholt;Socialdemokratiet;1964
Knud Bro;Det Konservative Folkeparti;1964
Hanne Budtz;Det Konservative Folkeparti;1964
Kaj Bundvad;Socialdemokratiet;1964
Ejnar Bækgaard;De Uafhængige;1964
Alfred Bøgh;Venstre;1964
Chr R Christensen;Det Konservative Folkeparti;1964
Henry Christensen;Venstre;1964
Jens Chr Christensen;Venstre;1964
Robert Christensen;Venstre;1964
Erik Haunstrup Clemmensen;Det Konservative Folkeparti;1964
Peter Mohr Dam;Javnadarflokkurin;1964
Poul Dam;Socialistisk Folkeparti;1964
Mads Eg Damgaard;Det Konservative Folkeparti;1964
Kr Damsgaard;Venstre;1964
Børge Diderichsen;Venstre;1964
Erling Dinesen;Socialdemokratiet;1964
P Ditlevsen;Socialdemokratiet;1964
Edvin Dose;Socialdemokratiet;1964
Gunhild Due;Socialistisk Folkeparti;1964
Wilh Dupont;Socialdemokratiet;1964
Knud Enggaard;Venstre;1964
Erik Eriksen;Venstre;1964
Holger Eriksen;Socialdemokratiet;1964
Niels Eriksen;Venstre;1964
P E Eriksen;Venstre;1964
S A Fanger;Det Konservative Folkeparti;1964
Per Federspiel;Venstre;1964
Jens E Foged;Venstre;1964
Jens Frandsen;Venstre;1964
Simon J From;Venstre;1964
Peter Gorrsen;Socialdemokratiet;1964
N Gottschalck-Hansen;Det Konservative Folkeparti;1964
Victor Gram;Socialdemokratiet;1964
Lis Groes;Socialdemokratiet;1964
Ove Guldberg;Venstre;1964
Hagen Hagensen;Det Konservative Folkeparti;1964
Andreas Hansen;Socialdemokratiet;1964
Edvin Boye Hansen;Socialdemokratiet;1964
Holger Hansen;Venstre;1964
Jørgen Peder Hansen;Socialdemokratiet;1964
Ove Hansen;Socialdemokratiet;1964
Poul Hansen (Virum);Socialdemokratiet;1964
Poul Hansen (København);Socialdemokratiet;1964
R Lysholt Hansen;Socialdemokratiet;1964
Poul Hartling;Venstre;1964
Aage Hastrup;Det Konservative Folkeparti;1964
Svend Haugaard;Det Radikale Venstre;1964
Aage Hauskov;Socialdemokratiet;1964
Thomas Have;Socialdemokratiet;1964
Knud Hertling;Uden for partierne;1964
Niels Hjortnæs;Socialdemokratiet;1964
Gustav Holmberg;Venstre;1964
Svend Horn;Socialdemokratiet;1964
Søren Chr Hougaard;Socialdemokratiet;1964
Grete Hækkerup;Socialdemokratiet;1964
Hans Hækkerup;Socialdemokratiet;1964
Per Hækkerup;Socialdemokratiet;1964
Erhard Jakobsen;Socialdemokratiet;1964
Frode Jakobsen;Socialdemokratiet;1964
Asger Jensen;Det Konservative Folkeparti;1964
Carl P Jensen;Socialdemokratiet;1964
Edvard Jensen;Det Konservative Folkeparti;1964
Egon Jensen;Socialdemokratiet;1964
Jens Peter Jensen (Agerskov);Det Radikale Venstre;1964
Jens Peter Jensen (Holte);Venstre;1964
Jørgen Jensen;Det Konservative Folkeparti;1964
Lars P Jensen;Socialdemokratiet;1964
Søren Jensen;Venstre;1964
Søren Lund Jensen;Socialdemokratiet;1964
A Stæhr Johansen;Det Konservative Folkeparti;1964
Anker Jørgensen;Socialdemokratiet;1964
Peter Jørgensen;Socialdemokratiet;1964
Jacob Kirkegaard;Det Radikale Venstre;1964
J Risgaard Knudsen;Socialdemokratiet;1964
P Thisted Knudsen;Venstre;1964
Bodil Koch;Socialdemokratiet;1964
Conrad Kofoed;Venstre;1964
Ib Kolbjørn;Socialdemokratiet;1964
Jens Otto Krag;Socialdemokratiet;1964
Erik Kragh;Det Konservative Folkeparti;1964
Axel Kristensen;Venstre;1964
Ejner Kristensen;Venstre;1964
Evald Kristensen;Socialdemokratiet;1964
Bjørn Krogh;Socialdemokratiet;1964
Morten Lange;Socialistisk Folkeparti;1964
Jørgen Langkilde;Det Konservative Folkeparti;1964
Aksel Larsen;Socialistisk Folkeparti;1964
Arne Larsen;Socialistisk Folkeparti;1964
H Larsen (Bjerre);Socialdemokratiet;1964
Johs Herløv Larsen;Socialdemokratiet;1964
Peter Larsen (Østrup);Venstre;1964
Camma Larsen-Ledet;Socialdemokratiet;1964
Waldemar Laursen;Socialdemokratiet;1964
Hans Jørgen Lembourn;Det Konservative Folkeparti;1964
Nathalie Lind;Venstre;1964
Kai Lindberg;Socialdemokratiet;1964
Marie A v Lowzow;Det Konservative Folkeparti;1964
Hans Lund;Socialdemokratiet;1964
Chr Madsen;Socialistisk Folkeparti;1964
Ejvind Juul Madsen;Det Konservative Folkeparti;1964
Niels Matthiasen;Socialdemokratiet;1964
Th Mikkelsen;Socialdemokratiet;1964
Kai Moltke;Socialistisk Folkeparti;1964
Clara Munck;Det Konservative Folkeparti;1964
Gerda Møller;Det Konservative Folkeparti;1964
Orla Møller;Socialdemokratiet;1964
Per Møller;Venstre;1964
Poul Møller;Det Konservative Folkeparti;1964
Otto Mørch;Socialdemokratiet;1964
Niels Mørk;Socialdemokratiet;1964
Carl Nielsen (Tinggyden);Socialdemokratiet;1964
Harald Nielsen;Venstre;1964
Helge Nielsen;Socialdemokratiet;1964
K Axel Nielsen;Socialdemokratiet;1964
Peter Nielsen;Socialdemokratiet;1964
Poul Nilsson;Socialdemokratiet;1964
Erik Ninn-Hansen;Det Konservative Folkeparti;1964
AC Normann;Det Radikale Venstre;1964
Viola Nørløv;Socialdemokratiet;1964
Erling Olsen;Socialdemokratiet;1964
Axel Ivan Pedersen;Socialdemokratiet;1964
Hindkjær Pedersen;Det Konservative Folkeparti;1964
Orla Pedersen;Socialdemokratiet;1964
Carl Petersen;Socialdemokratiet;1964
Ellen Strange Petersen;Det Konservative Folkeparti;1964
K Helveg Petersen;Det Radikale Venstre;1964
Grethe Philip;Det Radikale Venstre;1964
Johan Philipsen;Venstre;1964
Finn Poulsen;Venstre;1964
Iver Poulsen;De Uafhængige;1964
O Vestergaard Poulsen;Det Konservative Folkeparti;1964
Chr Rasmussen;Socialdemokratiet;1964
Kaj Rasmussen;Socialdemokratiet;1964
Karl Max Rasmussen;Socialdemokratiet;1964
Niels Ravn;Det Konservative Folkeparti;1964
I A Rimstad;De Uafhængige;1964
Nikolaj Rosing;Uden for partierne;1964
Else-Merete Ross;Det Radikale Venstre;1964
Poul Schlüter;Det Konservative Folkeparti;1964
Børge Schmidt;Socialdemokratiet;1964
Eigil Schytt;Socialdemokratiet;1964
Erik Sigsgaard;Socialistisk Folkeparti;1964
Astrid Skjoldbo;Socialdemokratiet;1964
J Skræppenborg-Nielsen;Socialistisk Folkeparti;1964
Karl Skytte;Det Radikale Venstre;1964
Ib Stetter;Det Konservative Folkeparti;1964
Poul Søgaard;Socialdemokratiet;1964
Adolph Sørensen;Det Konservative Folkeparti;1964
Axel Sørensen;Det Radikale Venstre;1964
Erna Sørensen;Det Konservative Folkeparti;1964
Jacob Sørensen;Venstre;1964
Poul Sørensen;Det Konservative Folkeparti;1964
Bernhardt Tastesen;Socialdemokratiet;1964
Fr W Teichert;Socialdemokratiet;1964
Knud Thestrup;Det Konservative Folkeparti;1964
Chr Thomsen;Socialdemokratiet;1964
Knud Thomsen;Det Konservative Folkeparti;1964
Peer Skov Thulesen;Venstre;1964
Ib Thyregod;Venstre;1964
HC Toft;Det Konservative Folkeparti;1964
Knud Holm Tved;Socialdemokratiet;1964
H Vivike;Socialistisk Folkeparti;1964
Ove Weikop;Det Konservative Folkeparti;1964
Niels Westerby;Venstre;1964
Erik Østergaard;De Uafhængige;1964
Knud Østergaard;Det Konservative Folkeparti;1964
Kristen Østergaard;Venstre;1964
Kristian Albertsen;Socialdemokratiet;1966
Anders Andersen;Venstre;1966
Anders Chr Andersen;Venstre;1966
K B Andersen;Socialdemokratiet;1966
Normann Andersen;Socialdemokratiet;1966
Søren Andersen;Venstre;1966
Poul Adrian Andreasen;Fólkaflokkurin;1966
Kaj Andresen;Socialdemokratiet;1966
Poul Antonsen;Liberalt Centrum;1966
B Baunsgaard;Det Radikale Venstre;1966
Hilmar Baunsgaard;Det Radikale Venstre;1966
Per Bendix;Det Konservative Folkeparti;1966
Jens Bilgrav-Nielsen;Det Radikale Venstre;1966
Jens Bladt;Socialdemokratiet;1966
Jul Bomholt;Socialdemokratiet;1966
Knud Bro;Det Konservative Folkeparti;1966
Hanne Budtz;Det Konservative Folkeparti;1966
Kaj Bundvad;Socialdemokratiet;1966
