row_names,theta,se,Title,id,Samling,Nr,Titel,Dato,speaker_id,Date,Year,Parti,Period,n_words,month_year_id,coalition
Fatma Øktem,0,0.4264014327112209,Fatma Øktem,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347448,2019-10-03T14:56:00Z,2019,Venstre,2019-,119,2019_10,No
Hans Andersen,0.805352688103957,0.3631892975377757,Hans Andersen,20191_M4_referat,20191,4,"Referat af møde 4 den 8. oktober, 2019 kl. 13.00",08-10-2019,348480,2019-10-08T16:03:00Z,2019,Venstre,2019-,163,2019_10,No
Hans Christian Schmidt,0.954292758197749,0.7349590954017394,Hans Christian Schmidt,20191_M6_referat,20191,6,"Referat af møde 6 den 10. oktober, 2019 kl. 10.00",10-10-2019,349457,2019-10-10T11:58:00Z,2019,Venstre,2019-,200,2019_10,No
Heidi Bank,-0.26244629161975663,0.19452806194411368,Heidi Bank,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347870,2019-10-03T19:54:00Z,2019,Venstre,2019-,87,2019_10,No
Henrik Dam Kristensen,-0.47906900257779883,0.1460657732250098,Henrik Dam Kristensen,20191_M13_referat,20191,13,"Referat af møde 13 den 31. oktober, 2019 kl. 10.00",31-10-2019,352129,2019-10-31T11:30:00Z,2019,Socialdemokratiet,2019-,68,2019_10,Yes
Henrik Møller,-0.23083633352438102,0.2889281131552857,Henrik Møller,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347949,2019-10-03T20:38:00Z,2019,Socialdemokratiet,2019-,170,2019_10,Yes
Inger Støjberg,0,0.408248290463863,Inger Støjberg,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347124,2019-10-03T10:46:00Z,2019,Venstre,2019-,160,2019_10,No
Jacob Jensen,0.17964997137371874,0.2149997356929262,Jacob Jensen,20191_M11_referat,20191,11,"Referat af møde 11 den 24. oktober, 2019 kl. 10.50",24-10-2019,351649,2019-10-24T11:53:00Z,2019,Venstre,2019-,847,2019_10,No
Jakob Ellemann-Jensen,0,0.2581988897471611,Jakob Ellemann-Jensen,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,346989,2019-10-03T00:16:00Z,2019,Venstre,2019-,448,2019_10,No
Jan Johansen,0,0.816496580927726,Jan Johansen,20191_M9_referat,20191,9,"Referat af møde 9 den 23. oktober, 2019 kl. 10.00",23-10-2019,351542,2019-10-23T17:02:00Z,2019,Socialdemokratiet,2019-,344,2019_10,Yes
Jane Heitmann,1.2302414203611578,0.7797281804308588,Jane Heitmann,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347613,2019-10-03T16:31:00Z,2019,Venstre,2019-,76,2019_10,No
Jens Joel,0,0.7071067811865476,Jens Joel,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347320,2019-10-03T13:44:00Z,2019,Socialdemokratiet,2019-,60,2019_10,Yes
Jeppe Bruus,0.3474871633985552,0.34843977024077477,Jeppe Bruus,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347232,2019-10-03T11:46:00Z,2019,Socialdemokratiet,2019-,77,2019_10,Yes
Jeppe Kofod,-1.3327553419280298,0.18391928005793645,Jeppe Kofod,20191_M11_referat,20191,11,"Referat af møde 11 den 24. oktober, 2019 kl. 10.50",24-10-2019,351743,2019-10-24T13:12:00Z,2019,Socialdemokratiet,2019-,1386,2019_10,Yes
Jesper Petersen,0.3207393071262995,0.1596166832481189,Jesper Petersen,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347059,2019-10-03T10:04:00Z,2019,Socialdemokratiet,2019-,1634,2019_10,Yes
Julie Skovsby,-0.40146743185082623,0.5795276347285961,Julie Skovsby,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347759,2019-10-03T17:46:00Z,2019,Socialdemokratiet,2019-,111,2019_10,Yes
Karen Ellemann,-0.05823178935952555,0.1041169422030962,Karen Ellemann,20191_M10_referat,20191,10,"Referat af møde 10 den 24. oktober, 2019 kl. 10.00",24-10-2019,351561,2019-10-24T10:00:00Z,2019,Venstre,2019-,910,2019_10,No
Karsten Lauritzen,0,0.408248290463863,Karsten Lauritzen,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347540,2019-10-03T15:45:00Z,2019,Venstre,2019-,64,2019_10,No
Kasper Roug,-0.34842406462858116,0.45872640629007583,Kasper Roug,20191_M4_referat,20191,4,"Referat af møde 4 den 8. oktober, 2019 kl. 13.00",08-10-2019,348478,2019-10-08T16:01:00Z,2019,Socialdemokratiet,2019-,125,2019_10,Yes
Kasper Sand Kjær,0.4763751503320675,0.45655434955615365,Kasper Sand Kjær,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,348017,2019-10-03T21:18:00Z,2019,Socialdemokratiet,2019-,153,2019_10,Yes
Kim Valentin,0,0.4264014327112209,Kim Valentin,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347848,2019-10-03T19:45:00Z,2019,Venstre,2019-,159,2019_10,No
Kristian Pihl Lorentzen,1.2545819293535787,0.25714199145229577,Kristian Pihl Lorentzen,20191_M5_referat,20191,5,"Referat af møde 5 den 9. oktober, 2019 kl. 13.00",09-10-2019,348638,2019-10-09T13:29:00Z,2019,Venstre,2019-,51,2019_10,No
Lars Aslan Rasmussen,-0.7372880560963818,0.17819201855629177,Lars Aslan Rasmussen,20191_M13_referat,20191,13,"Referat af møde 13 den 31. oktober, 2019 kl. 10.00",31-10-2019,352165,2019-10-31T11:53:00Z,2019,Socialdemokratiet,2019-,287,2019_10,Yes
Leif Lahn Jensen,0.770775784665781,0.2781992314481914,Leif Lahn Jensen,20191_M4_referat,20191,4,"Referat af møde 4 den 8. oktober, 2019 kl. 13.00",08-10-2019,348501,2019-10-08T16:33:00Z,2019,Socialdemokratiet,2019-,517,2019_10,Yes
Lennart Damsbo-Andersen,-0.19226004551387668,0.713322480896233,Lennart Damsbo-Andersen,20191_M8_referat,20191,8,"Referat af møde 8 den 22. oktober, 2019 kl. 10.00",22-10-2019,350459,2019-10-22T18:39:00Z,2019,Socialdemokratiet,2019-,127,2019_10,Yes
Louise Schack Elholm,0.6753077452198895,0.24084514268003523,Louise Schack Elholm,20191_M11_referat,20191,11,"Referat af møde 11 den 24. oktober, 2019 kl. 10.50",24-10-2019,351709,2019-10-24T12:39:00Z,2019,Venstre,2019-,689,2019_10,No
Malte Larsen,-0.15585707893328882,0.2803560858267819,Malte Larsen,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347741,2019-10-03T17:36:00Z,2019,Socialdemokratiet,2019-,100,2019_10,Yes
Marcus Knuth,-0.0877779008072464,0.42088942912954175,Marcus Knuth,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347271,2019-10-03T13:15:00Z,2019,Venstre,2019-,178,2019_10,No
Marie Bjerre,-0.18061027471936775,0.30282591104354684,Marie Bjerre,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347640,2019-10-03T16:43:00Z,2019,Venstre,2019-,72,2019_10,No
Marlene Ambo-Rasmussen,0.32955273650035316,0.6233565789539738,Marlene Ambo-Rasmussen,20191_M3_referat,20191,3,"Referat af møde 3 den 3. oktober, 2019 kl. 10.00",03-10-2019,347840,2019-10-03T19:40:00Z,2019,Venstre,2019-,86,2019_10,No
Martin Geertsen,0.6314966840903702,0.34261012114720196,Martin Geertsen,20191_M11_referat,20191,11,"Referat af møde 11 den 24. oktober, 2019 kl. 10.50",24-10-2019,351609,2019-10-24T10:55:00Z,2019,Venstre,2019-,425,2019_10,No
