From,To,overlaps.OV,Month
Venstre,Socialdemokratiet,0.7694644378967824,1991-04-01
Venstre,Centrum,0.6515842188225661,1991-04-01
Venstre,Socialistisk Folkeparti,0.6065414962103042,1991-04-01
Venstre,Radikale Venstre,0.5758737083406225,1991-04-01
Venstre,Kristeligt Folkeparti,0.5184115434822981,1991-04-01
Socialdemokratiet,Fremskridtspartiet,0.8668431227689823,1991-04-01
Socialdemokratiet,Det Konservative Folkeparti,0.7182425656046993,1991-04-01
Socialdemokratiet,Venstre,0.7694644378967824,1991-04-01
Socialdemokratiet,Centrum,0.7696381664146723,1991-04-01
Socialdemokratiet,Socialistisk Folkeparti,0.5184770037310213,1991-04-01
Socialdemokratiet,Radikale Venstre,0.7144971275806539,1991-04-01
Socialdemokratiet,Kristeligt Folkeparti,0.5139807888644586,1991-04-01
Socialistisk Folkeparti,Fremskridtspartiet,0.49007229653452083,1991-04-01
Socialistisk Folkeparti,Det Konservative Folkeparti,0.639056295493889,1991-04-01
Socialistisk Folkeparti,Venstre,0.6065414962103042,1991-04-01
Socialistisk Folkeparti,Socialdemokratiet,0.5184770037310213,1991-04-01
Socialistisk Folkeparti,Radikale Venstre,0.34705502749148753,1991-04-01
Socialistisk Folkeparti,Kristeligt Folkeparti,0.6127643112388489,1991-04-01
Radikale Venstre,Fremskridtspartiet,0.7177520820997823,1991-04-01
Radikale Venstre,Det Konservative Folkeparti,0.5523295470089875,1991-04-01
Radikale Venstre,Venstre,0.5758737083406225,1991-04-01
Radikale Venstre,Socialdemokratiet,0.7144971275806539,1991-04-01
Radikale Venstre,Socialistisk Folkeparti,0.34705502749148753,1991-04-01
Radikale Venstre,Kristeligt Folkeparti,0.36802675965306453,1991-04-01
Kristeligt Folkeparti,Fremskridtspartiet,0.4644817783058979,1991-04-01
Kristeligt Folkeparti,Det Konservative Folkeparti,0.6923568247253564,1991-04-01
Kristeligt Folkeparti,Venstre,0.5184115434822981,1991-04-01
Kristeligt Folkeparti,Socialdemokratiet,0.5139807888644586,1991-04-01
Kristeligt Folkeparti,Socialistisk Folkeparti,0.6127643112388489,1991-04-01
Kristeligt Folkeparti,Radikale Venstre,0.36802675965306453,1991-04-01
Fremskridtspartiet,Det Konservative Folkeparti,0.7353159998758215,1991-05-01
Fremskridtspartiet,Venstre,0.6984018635170797,1991-05-01
Fremskridtspartiet,Socialdemokratiet,0.7045038348237483,1991-05-01
Fremskridtspartiet,Centrum,0.7938122701857555,1991-05-01
Fremskridtspartiet,Socialistisk Folkeparti,0.8296332667823844,1991-05-01
Fremskridtspartiet,Radikale Venstre,0.6633332689479199,1991-05-01
Fremskridtspartiet,Kristeligt Folkeparti,0.5937762396368832,1991-05-01
Det Konservative Folkeparti,Fremskridtspartiet,0.7353159998758215,1991-05-01
Det Konservative Folkeparti,Venstre,0.6727554386426544,1991-05-01
Det Konservative Folkeparti,Socialdemokratiet,0.7345401218214894,1991-05-01
Det Konservative Folkeparti,Centrum,0.8275412811890148,1991-05-01
Det Konservative Folkeparti,Socialistisk Folkeparti,0.8021649995689011,1991-05-01
Det Konservative Folkeparti,Radikale Venstre,0.6433339432907844,1991-05-01
Det Konservative Folkeparti,Kristeligt Folkeparti,0.7868182816631023,1991-05-01
Venstre,Fremskridtspartiet,0.6984018635170797,1991-05-01
Venstre,Det Konservative Folkeparti,0.6727554386426544,1991-05-01
Venstre,Socialdemokratiet,0.8488696511866272,1991-05-01
Venstre,Centrum,0.6909571501699996,1991-05-01
Venstre,Socialistisk Folkeparti,0.6958788200169278,1991-05-01
Venstre,Radikale Venstre,0.5714979377852382,1991-05-01
Venstre,Kristeligt Folkeparti,0.5464438835455238,1991-05-01
Socialdemokratiet,Fremskridtspartiet,0.7045038348237483,1991-05-01
Socialdemokratiet,Det Konservative Folkeparti,0.7345401218214894,1991-05-01
Socialdemokratiet,Venstre,0.8488696511866272,1991-05-01
Socialdemokratiet,Centrum,0.7278155616140568,1991-05-01
Socialdemokratiet,Socialistisk Folkeparti,0.7151508076833216,1991-05-01
Socialdemokratiet,Radikale Venstre,0.598571879826551,1991-05-01
Socialdemokratiet,Kristeligt Folkeparti,0.5959556018265247,1991-05-01
Socialistisk Folkeparti,Fremskridtspartiet,0.8296332667823844,1991-05-01
Socialistisk Folkeparti,Det Konservative Folkeparti,0.8021649995689011,1991-05-01
Socialistisk Folkeparti,Venstre,0.6958788200169278,1991-05-01
Socialistisk Folkeparti,Socialdemokratiet,0.7151508076833216,1991-05-01
Socialistisk Folkeparti,Radikale Venstre,0.7262617888254581,1991-05-01
Socialistisk Folkeparti,Kristeligt Folkeparti,0.6865297867794808,1991-05-01
Radikale Venstre,Fremskridtspartiet,0.6633332689479199,1991-05-01
Radikale Venstre,Det Konservative Folkeparti,0.6433339432907844,1991-05-01
Radikale Venstre,Venstre,0.5714979377852382,1991-05-01
Radikale Venstre,Socialdemokratiet,0.598571879826551,1991-05-01
Radikale Venstre,Socialistisk Folkeparti,0.7262617888254581,1991-05-01
Radikale Venstre,Kristeligt Folkeparti,0.6521478653688175,1991-05-01
Kristeligt Folkeparti,Fremskridtspartiet,0.5937762396368832,1991-05-01
Kristeligt Folkeparti,Det Konservative Folkeparti,0.7868182816631023,1991-05-01
Kristeligt Folkeparti,Venstre,0.5464438835455238,1991-05-01
Kristeligt Folkeparti,Socialdemokratiet,0.5959556018265247,1991-05-01
Kristeligt Folkeparti,Socialistisk Folkeparti,0.6865297867794808,1991-05-01
Kristeligt Folkeparti,Radikale Venstre,0.6521478653688175,1991-05-01
Det Konservative Folkeparti,Radikale Venstre,0.9260181073440341,1991-08-01
Det Konservative Folkeparti,Socialdemokratiet,0.876136047644198,1991-08-01
Det Konservative Folkeparti,Socialistisk Folkeparti,1,1991-08-01
Radikale Venstre,Det Konservative Folkeparti,0.9260181073440341,1991-08-01
Radikale Venstre,Socialdemokratiet,0.9461502627919551,1991-08-01
Radikale Venstre,Socialistisk Folkeparti,0.9260181073440341,1991-08-01
Socialdemokratiet,Det Konservative Folkeparti,0.876136047644198,1991-08-01
Socialdemokratiet,Radikale Venstre,0.9461502627919551,1991-08-01
Socialdemokratiet,Socialistisk Folkeparti,0.876136047644198,1991-08-01
Socialistisk Folkeparti,Det Konservative Folkeparti,1,1991-08-01
Socialistisk Folkeparti,Radikale Venstre,0.9260181073440341,1991-08-01
Socialistisk Folkeparti,Socialdemokratiet,0.876136047644198,1991-08-01
Fremskridtspartiet,Det Konservative Folkeparti,0.6635479906213287,1991-10-01
Fremskridtspartiet,Venstre,0.8438169804803098,1991-10-01
Fremskridtspartiet,Socialdemokratiet,0.7850307489322582,1991-10-01
Fremskridtspartiet,Centrum,0.6774678059859915,1991-10-01
Fremskridtspartiet,Socialistisk Folkeparti,0.826338960467546,1991-10-01
Fremskridtspartiet,Radikale Venstre,0.6614403103092825,1991-10-01
Fremskridtspartiet,Kristeligt Folkeparti,0.25047889110891775,1991-10-01
Det Konservative Folkeparti,Fremskridtspartiet,0.6635479906213287,1991-10-01
Det Konservative Folkeparti,Venstre,0.6940721197540104,1991-10-01
Det Konservative Folkeparti,Socialdemokratiet,0.6346607893809335,1991-10-01
Det Konservative Folkeparti,Centrum,0.7245573745679149,1991-10-01
Det Konservative Folkeparti,Socialistisk Folkeparti,0.5679483446108977,1991-10-01
